,AUC,Accuracy,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,classifier,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
20,0.819037543913 (0.0119551248707),0.75472 (0.00672816963718),0.06684 (0.000342150064543),0.0675328647651 (0.000789150952434),0.0859343039418 (0.0050206384134),0.100382126666 (0.00829500756699),0.177859328037 (0.00628739590888),0.305598776333 (0.0188737674328),0.517760933085 (0.0186401035651),1.0 (0.0),0.998707620186 (0.000922333624483),0.966107210912 (0.00602014944219),0.937193266755 (0.00922494206391),0.736144662074 (0.00844976704549),0.397260691889 (0.062336214147),0.136207444871 (0.0727749802821),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.12650983001 (0.00137796892822),0.15778096 (0.00842168814067),0.181206882811 (0.0134455077268),0.286470545692 (0.00878448498979),0.344551097031 (0.0361185457323),0.203348275208 (0.098862925702),0.00392524401347 (0.000119164988445),0.115805784861 (0.015093271129)
21,0.757131201354 (0.0161881018636),0.933313333333 (0.000163571255285),0.0879766263492 (0.00839340146847),0.156438154284 (0.0137781206082),0.28088146141 (0.0220929312525),0.431241157553 (0.1483866813),0.544859429143 (0.0642258533197),0.166666666667 (0.235702260396),0.0 (0.0),0.911390246779 (0.0318723105046),0.65707803283 (0.0352177256933),0.153968099426 (0.0410300911059),0.0470730710124 (0.0331741926121),0.014255634677 (0.00142269009776),0.0024897918534 (0.00352109740657),0.0 (0.0),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.160258169634 (0.0134839616845),0.252148257434 (0.0167779388363),0.193559503756 (0.0295852540632),0.0759960601932 (0.0446022171495),0.0277829230098 (0.002778743505),nan (nan),nan (nan),0.00396633148193 (2.21844612397e-05),0.0797725518545 (0.00618429509395)
22,0.572502522048 (0.00588360841944),0.93314 (0.00034756294394),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.166666666667 (0.235702260396),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.000199183348272 (0.000281687792525),0.0 (0.0),0.0 (0.0),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),0.00431942939758 (5.12154333724e-05),0.0646936098735 (0.00617014586068)
23,0.572582162662 (0.00584062507349),0.93316 (0.000342150064543),0.0745829062351 (0.00108142981746),0.0875953702798 (0.00142665433033),0.0912763456736 (0.00141641526737),0.0871895476267 (0.00223456321338),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.779565848746 (0.0124763182402),0.460191891758 (0.00676465558373),0.238561472865 (0.00379169719787),0.142406954383 (0.00484850911471),0.0 (0.0),0.0 (0.0),0.0 (0.0),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.136140458195 (0.00197817383854),0.147174807404 (0.00231189137566),0.132034686165 (0.00206216033091),0.108155772189 (0.00310546928053),nan (nan),nan (nan),nan (nan),0.00419346491496 (2.54608519213e-05),0.091783285141 (0.000587819189582)
24,0.82839472575 (0.00173413546813),0.760606666667 (0.00118764005022),0.0668413978366 (0.000343623364863),0.0684561720342 (0.000361874942031),0.0913661211427 (0.000520287528641),0.107817054403 (0.0010639340589),0.182504862161 (0.00134818190863),0.315924156846 (0.00535666320294),0.498635800665 (0.0145515373987),0.999900793651 (0.000140298964521),0.99800543737 (0.000279902904672),0.958605036348 (0.00390751791645),0.926600256282 (0.00207992343177),0.741969886505 (0.00293482988577),0.438126337828 (0.00685198843522),0.206019786559 (0.0115561678445),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.12530611279 (0.000603076481624),0.128123703015 (0.000631487204984),0.166830253031 (0.000830766730698),0.19315605788 (0.00166667604515),0.292950705942 (0.00194974826251),0.367039389399 (0.00231123822947),0.291397072611 (0.0127855281183),0.00394781430562 (4.8303287698e-05),12.4595563412 (1.93988419654)
25,0.804865042627 (0.00283768678406),0.934253333333 (0.000344995974212),0.152252506096 (0.00198940550882),0.198887126058 (0.00354996326136),0.298109947511 (0.0099864092268),0.398620156367 (0.0164819103065),0.596324741745 (0.00559312749686),0.596739130435 (0.0245148258319),0.565934065934 (0.146680315386),0.783572959724 (0.00259376939729),0.623581311885 (0.00208750966125),0.364820127778 (0.00681629480297),0.246352719796 (0.0044803669346),0.0507574096297 (0.00257426496826),0.00508904318918 (0.000894715438395),0.00149170222844 (0.00105651910316),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.254957118461 (0.00275768551943),0.301561147301 (0.00384144496055),0.328073426485 (0.00848686171485),0.304473776933 (0.00823690426425),0.0935288800177 (0.00432884388999),0.0100904459535 (0.00176359092736),0.00297402666715 (0.00210340320943),0.00391308466593 (2.51847473587e-05),6.16785176595 (1.0871283768)
26,0.828397624114 (0.0016756196794),0.760453333333 (0.00113517497428),0.0668462737567 (0.000348801507309),0.0684710003623 (0.000364787378992),0.091334884626 (0.000541634322472),0.107828963067 (0.00111509161811),0.182308013287 (0.0013483713876),0.316537259679 (0.00511039173499),0.497559738727 (0.0158167404492),1.0 (0.0),0.998105869227 (0.000368833194256),0.958605036348 (0.00390751791645),0.926799894488 (0.00217449325382),0.741370201236 (0.0030098408244),0.438421051002 (0.00771332456602),0.205921805718 (0.0119284917355),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.125315462019 (0.000612998215608),0.128150489722 (0.000635753990234),0.16677815486 (0.00086922661076),0.193179247252 (0.0017462566826),0.292650425606 (0.00195845451449),0.367553682563 (0.00244543433811),0.291112281701 (0.0133861944576),0.00425887107849 (6.69238870575e-05),1.50731992722 (0.0603307133116)
27,0.803933001245 (0.00291128450913),0.934206666667 (0.000318468557667),0.152271109936 (0.00214464372115),0.198282946738 (0.00337629499102),0.29943604263 (0.00940405210233),0.396579436141 (0.0156080551752),0.590089073567 (0.00392564908643),0.591414141414 (0.00681350381981),0.592857142857 (0.131319830792),0.782463376799 (0.00205997962548),0.6207815445 (0.00322681697472),0.362841496749 (0.00396750667706),0.245157865965 (0.00450928241919),0.0512591835897 (0.0018233080225),0.00448645204727 (0.000630595663914),0.00149292773622 (0.000838382378365),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.254926490222 (0.00309829313156),0.300541037064 (0.00368949333718),0.328064135016 (0.00714944302438),0.302972374677 (0.00801052799325),0.0943171560964 (0.0031157149158),0.00890420101137 (0.00124229456366),0.0029773470697 (0.00166930206887),0.00421500205994 (5.59733844746e-05),1.29198185603 (0.141698898354)
28,0.828425244506 (0.00171258718063),0.760486666667 (0.00116919725548),0.0668413978366 (0.000343623364863),0.0684380720329 (0.000364618658098),0.0913223487757 (0.000485779307076),0.107813299475 (0.00111304153066),0.182361914644 (0.00136129104944),0.315886273486 (0.00526244411541),0.498452486745 (0.0155242298833),0.999900793651 (0.000140298964521),0.997906231021 (0.000237889200876),0.958705468205 (0.00393624478055),0.926699462631 (0.00203626052144),0.741570224767 (0.00290318793453),0.437928379987 (0.00660822543898),0.206120218416 (0.0116670619732),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.12530611279 (0.000603076481624),0.128091183093 (0.000636610474599),0.166758863279 (0.000772157712537),0.193151981304 (0.00174492087705),0.292735368291 (0.00196522179996),0.366949251893 (0.00232367002131),0.291457055546 (0.0129436075827),0.0040275255839 (5.32488324367e-05),2.23897433281 (1.32627893709)
29,0.803288241334 (0.00508157283328),0.933406666667 (0.000197540431867),0.149167160436 (0.0030447758359),0.195282500607 (0.00473883121783),0.271749264236 (0.0107550350223),0.344671678844 (0.023864951441),0.556189083821 (0.0386828463728),0.166666666667 (0.235702260396),0.0 (0.0),0.78695500901 (0.00491269737074),0.645326550256 (0.000887744708064),0.373208406149 (0.00422225732102),0.203876145512 (0.0130525225821),0.017043216517 (0.00331174649937),0.000301295570955 (0.000426096282728),0.0 (0.0),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.250787100467 (0.00448592635904),0.299800021506 (0.00554257374138),0.314378414308 (0.00759701241995),0.256177039983 (0.0166715681855),0.0330575307559 (0.00629125877361),nan (nan),nan (nan),0.00402235984802 (9.246850794e-05),0.39715774854 (0.155300080668)
30,0.828015838008 (0.00190257578446),0.760073333333 (0.00133878883905),0.06684 (0.000342150064543),0.0684755402529 (0.000409852395933),0.091317759466 (0.000871904416267),0.107566361928 (0.00191806760457),0.182257545189 (0.0016310178549),0.313325088232 (0.00534525081713),0.496977509877 (0.0152314097969),1.0 (0.0),0.997804573656 (0.000289827107997),0.959206016657 (0.00442039481432),0.926093334032 (0.00225948937379),0.742669302513 (0.00403118702286),0.437824764125 (0.00732677467741),0.206310545078 (0.0112633567681),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.128155919256 (0.000716645988255),0.166757304487 (0.00139823053653),0.192738135947 (0.00303877284552),0.292686167807 (0.00239283806436),0.365166190688 (0.00226131786284),0.291355960392 (0.0119269684388),0.00421722730001 (0.000127391449254),0.787933031718 (0.0748756965159)
31,0.657122167206 (0.00365344860684),0.93312 (0.00031496031496),0.092955858578 (0.00134702504663),0.114094043394 (0.0018076230948),0.144152625619 (0.00818829037587),0.213684441268 (0.0331148442838),0.487834578276 (0.0250077185509),0.149425287356 (0.211319267941),0.1 (0.141421356237),0.767997433585 (0.0096555600795),0.365745908478 (0.0104360727854),0.0560811758927 (0.00580963390414),0.0166598021727 (0.000914545194564),0.00948602341649 (0.00208801643382),0.00261122828161 (0.00369283445031),0.000903886712865 (0.00127828884818),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.165833300294 (0.00215546275602),0.173910636845 (0.00284932024557),0.0806948390348 (0.00726351766276),0.0308589702809 (0.00160137319092),0.0185898219514 (0.00400409384664),nan (nan),nan (nan),0.00433246294657 (4.31031661705e-05),0.36922454834 (0.0244817500928)
32,0.817174017165 (0.0108957705517),0.753286666667 (0.00755075860795),0.06684 (0.000342150064543),0.0674520256713 (0.000496210413679),0.0830697564848 (0.00638781707853),0.0962673119251 (0.00957886800112),0.176802871784 (0.00473833255729),0.311335382291 (0.0096096218741),0.555403700874 (0.0462773818728),1.0 (0.0),0.999201586241 (0.000744830405347),0.972051329102 (0.0106726917103),0.945303013777 (0.0154881282183),0.735304362699 (0.00359200727235),0.349576470836 (0.0890885096301),0.121476992091 (0.0769821168688),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.126372636299 (0.000865368398445),0.152973739246 (0.0107392202451),0.174543548748 (0.0155516493741),0.285040179602 (0.00641539277626),0.324683182539 (0.0485803921946),0.183904357723 (0.107631769549),0.00408355394999 (4.1410927206e-05),0.11078898112 (0.0231624781359)
33,0.696636347443 (0.0680153056918),0.933333333333 (0.000183545331972),0.0744006879757 (0.0037304475608),0.147442211558 (0.0420055111447),0.43205195858 (0.173952162545),0.506688801662 (0.106376481615),0.550923367413 (0.0663586743318),0.309523809524 (0.220800440369),0.0 (0.0),0.928850245509 (0.0464462368134),0.522013178719 (0.0322218221716),0.0255944218551 (0.0123741017831),0.0151570703743 (0.000860065437863),0.0145557047402 (0.00127338197981),0.00391432187387 (0.00491552854891),0.0 (0.0),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.13776353285 (0.00687539699055),0.227109453853 (0.053385605874),0.0454770723351 (0.0181350207234),0.029408617819 (0.00178858691947),0.0283603755105 (0.00249858167219),nan (nan),nan (nan),0.00399804115295 (6.77721324055e-05),0.0756440957387 (0.000456634523509)
34,0.572502522048 (0.00588360841944),0.93314 (0.00034756294394),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.166666666667 (0.235702260396),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.000199183348272 (0.000281687792525),0.0 (0.0),0.0 (0.0),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),0.0041294892629 (5.50402198091e-05),0.0607755184174 (0.000248666577659)
35,0.572582162662 (0.00584062507349),0.93316 (0.000342150064543),0.0745829062351 (0.00108142981746),0.0875953702798 (0.00142665433033),0.0912763456736 (0.00141641526737),0.0871895476267 (0.00223456321338),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.779565848746 (0.0124763182402),0.460191891758 (0.00676465558373),0.238561472865 (0.00379169719787),0.142406954383 (0.00484850911471),0.0 (0.0),0.0 (0.0),0.0 (0.0),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.136140458195 (0.00197817383854),0.147174807404 (0.00231189137566),0.132034686165 (0.00206216033091),0.108155772189 (0.00310546928053),nan (nan),nan (nan),nan (nan),0.00415992736816 (6.82093845957e-05),0.0930896600087 (0.00119405110907)
36,0.82831392191 (0.00172674087515),0.76046 (0.00113560556533),0.0668413978366 (0.000343623364863),0.0684796471655 (0.000361734735392),0.091375700564 (0.000512888522558),0.107848275017 (0.00106658965166),0.182359437405 (0.00133145098731),0.315778356114 (0.0052018117835),0.498340094936 (0.0149019351263),0.999900793651 (0.000140298964521),0.998006662878 (0.000366347535526),0.958306191793 (0.00366863377659),0.92650227544 (0.0023335548606),0.741669816441 (0.00276994204035),0.438023454955 (0.00746548188227),0.206120603741 (0.0118197930529),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.12530611279 (0.000603076481624),0.128164823246 (0.000630710359449),0.166841754103 (0.00081976889803),0.193203987217 (0.00167031825588),0.292739934706 (0.00191644614503),0.366901758722 (0.0023625234908),0.291456012 (0.013253348816),0.00382479031881 (3.79289582826e-05),16.2331171036 (2.01135693575)
37,0.804867279502 (0.00285618391004),0.934233333333 (0.000361232458244),0.152260379652 (0.00201013373272),0.198899032393 (0.00369649334576),0.297325629309 (0.0105941495105),0.397748454518 (0.0173086133235),0.595809531569 (0.00688490468406),0.61339198436 (0.0185599585005),0.571428571429 (0.154303349962),0.783972166604 (0.0024154168013),0.623079222133 (0.00160636948688),0.36482096796 (0.00675418303309),0.245555601078 (0.00573475028057),0.0500606532357 (0.00196022396208),0.00528868139537 (0.00103044790548),0.00159090857765 (0.0011960174471),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.25498905086 (0.00277899234511),0.301517114356 (0.00409810988983),0.327590200661 (0.00881831403953),0.303619725229 (0.00943033480175),0.0923455105316 (0.00328449931721),0.0104844634624 (0.00202984845551),0.00317103027912 (0.00238041592578),0.00383122762044 (4.05780359087e-05),7.00645860036 (3.27674461443)
38,0.828352324356 (0.00171920201121),0.760413333333 (0.00102882889194),0.0668413978366 (0.000343623364863),0.068481022217 (0.00036123278262),0.0913833663011 (0.000523390503964),0.10787540987 (0.00106759249096),0.182312039868 (0.00130913177809),0.316184118457 (0.00508923871164),0.497507455913 (0.015766716081),0.999900793651 (0.000140298964521),0.998006662878 (0.000366347535526),0.958504604491 (0.00388377597113),0.926701913646 (0.00241440587016),0.741569384584 (0.00274729574974),0.438323525018 (0.00733837539533),0.205822214044 (0.0119074036763),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.12530611279 (0.000603076481624),0.128167231932 (0.000629813863039),0.166857514253 (0.00083981530044),0.193251806622 (0.0016689198439),0.292671055378 (0.00188462305974),0.367288161188 (0.00259327055398),0.291016687423 (0.0134870056456),0.00410103797913 (3.15362086559e-05),1.70893462499 (0.0401967204259)
39,0.80400713785 (0.00332223421041),0.934166666667 (0.000294089933335),0.151688876741 (0.00244308179662),0.198742671539 (0.00400074180459),0.297090389739 (0.0115652338569),0.389206886504 (0.0219077503674),0.587449363273 (0.00736953933464),0.565842759391 (0.0148995711977),0.616666666667 (0.102740233383),0.783275688342 (0.00517720119314),0.62308198894 (0.00260457134954),0.364221074093 (0.00636506801609),0.245351237567 (0.00409797321289),0.0506578874886 (0.00216050847264),0.00458772408711 (0.000741878271118),0.00149292773622 (0.000838382378365),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.254145569475 (0.00338215000887),0.301329211834 (0.00430824580232),0.327150793 (0.00856388384725),0.30085102222 (0.00955967803045),0.0932572511466 (0.00364987666241),0.00910030456058 (0.00146254104191),0.00297752491131 (0.00166917547095),0.00413084030151 (3.6109200238e-05),1.17378338178 (0.128178460286)
40,0.828393411586 (0.00173787072931),0.760393333333 (0.00115635442471),0.0668413978366 (0.000343623364863),0.0684508807147 (0.000366187558845),0.0913626350856 (0.000498922200261),0.107822832881 (0.00115667545227),0.182361963591 (0.00136282961652),0.316183392919 (0.00497597472238),0.497760062165 (0.0155457252928),0.999900793651 (0.000140298964521),0.997805799164 (0.000138990138467),0.958306191793 (0.00366863377659),0.926503115623 (0.00255436141315),0.741971952195 (0.00306785915497),0.438623070691 (0.00714373406796),0.205518012599 (0.011174132926),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.12530611279 (0.000603076481624),0.128112796449 (0.000640172480461),0.166819993457 (0.0007951036698),0.193162685123 (0.00180972040011),0.292766600526 (0.00196644258943),0.367387973743 (0.00179376278232),0.290743005829 (0.0124074226975),0.00385427474976 (1.95571065781e-05),1.28125150998 (0.173996528923)
41,0.801967605875 (0.00121564618406),0.933453333333 (0.00017152907107),0.148893087904 (0.00103691046157),0.195166397505 (0.00291258450803),0.263670328583 (0.00250668206807),0.329805243126 (0.0168574232093),0.573926317255 (0.0476978019521),0.465986394558 (0.0292596097518),0.0 (0.0),0.786866099241 (0.00270373419389),0.645913980447 (0.00146125694713),0.365044699124 (0.00193587234712),0.193916766561 (0.0175301729137),0.0167467215712 (0.00340468663766),0.00280673510655 (0.00291793741128),0.0 (0.0),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.250400767704 (0.00136618324184),0.29975045198 (0.00358740174333),0.30618302474 (0.00235060969198),0.244138739464 (0.0185093058564),0.0325154968583 (0.00644779094705),0.00554454418565 (0.005742074894),nan (nan),0.00390775998433 (3.38141842198e-05),0.315365791321 (0.126806512223)
